epoch,QLoss,RLoss,RTwoLoss,loss,lr,val_QLoss,val_RLoss,val_RTwoLoss,val_loss
0,0.7435125846826531,14.954554675649781,78.212719485277,105.15524494149386,1.5009524e-05,0.7652360549015281,6.146922229138096,4.395487878108974,22.968176732021096
1,0.7350458137889325,4.944816139374396,3.538395806155504,20.29149559514151,1.9980953e-05,0.7263717007848014,4.329263279923295,2.9918032114154998,18.942052389668152
2,0.7016173527494582,3.9113914690090223,2.996082528972354,18.020182130907877,1.4971429e-05,0.68464690710591,4.217909458464226,2.6349954739608594,17.6143009979113
3,0.6752721183426933,3.564650008433672,2.7138773555311415,16.84455368455372,1.0019047e-05,0.6744169819671496,3.3998469378040954,2.352593736574713,16.294157656948123
4,0.6593219636171036,3.3317398990968337,2.5913630949878645,16.156495718901603,1.2523809e-05,0.6493329879193179,2.77450035552008,2.659601244416121,15.461834072011762
5,0.6398588286946482,2.9245997770430923,2.388292217591756,15.14360979573355,1.4971429e-05,0.6342825876400534,2.495521565981671,2.464360250407352,14.671871873129785
6,0.6236641266500088,2.5295604754650096,1.8476907104083793,13.8701438205777,1.2466667e-05,0.6131779683374725,2.299611705594358,2.2370680303898007,13.813712434431093
7,0.5978804409163986,2.325685590788892,1.8412118381448799,13.133746014801721,1.0019047e-05,0.5898299752610975,2.3111157950046843,1.8019358022220895,12.914263351828652
8,0.5737042416864475,2.1698596910945365,2.0265794854200383,12.672392684697199,1.1271429e-05,0.5658391336951636,2.5549850764527786,1.4486560350762003,12.317377022937336
9,0.539281827528667,1.9763032290872058,1.5387152844027194,11.298203250754469,1.247619e-05,0.518406856376513,2.0540302580436776,1.3720111853517263,10.789751641518247
10,0.5064268130313307,1.7813037900756974,1.4348939523780755,10.338565116599485,1.1223809e-05,0.4864353202613054,1.9040637589925158,1.3070449243934281,9.932498875972444
11,0.4644357932044526,1.7092243548015225,1.5938644729016398,9.585532570973095,1.0014286e-05,0.4635655470522104,1.848905377815255,1.2542618600140631,9.364610981097263
12,0.44028409969897325,1.5228881208728928,1.3186830927692212,8.640277545261746,1.0640476e-05,0.44228690869249077,1.540402928812314,1.2705940416791535,8.64610386949725
13,0.41179577493508956,1.346114815584607,1.079824690568923,7.65600303325363,1.1233334e-05,0.4248735166228978,2.3036777741086167,0.8296387583281086,8.615253497014004
14,0.38860981104038517,1.3833119102643923,1.0969841129610407,7.246234973573866,1.0607143e-05,0.39993076468199756,2.1998162940803883,0.7884853154223049,7.972013644412556
15,0.3727008761845161,1.2946063390022902,1.0310743916496465,6.772809311917526,1.0009524e-05,0.3730835213070422,1.4304450567053482,0.8585519968672136,6.740884565146623
16,0.3460534979861952,1.2549759920389028,1.0428685440040926,6.214849526891237,1.0322619e-05,0.3659616240621668,1.2667523096356772,0.8680970416593868,6.4424942599988615
